Id,SalePrice
1461,118209.48
1462,163561.56
1463,185090.92
1464,193633.1
1465,194834.8
1466,178000.67
1467,176164.67
1468,167131.17
1469,185599.8
1470,128861.45
1471,196213.39
1472,95604.27
1473,95622.57
1474,151601.1
1475,126960.41
1476,394045.6
1477,263117.22
1478,295603.94
1479,234708.88
1480,508346.0
1481,313997.6
1482,214047.08
1483,169852.8
1484,166589.44
1485,183885.1
1486,191717.89
1487,354529.1
1488,226440.12
1489,206599.16
1490,220995.42
1491,191367.05
1492,85336.95
1493,187087.25
1494,299505.94
1495,297453.06
1496,226164.4
1497,178692.77
1498,165532.9
1499,161816.62
1500,155315.11
1501,180793.36
1502,148239.67
1503,312500.5
1504,231109.31
1505,225649.12
1506,179280.12
1507,256009.89
1508,199135.45
1509,160652.64
1510,145916.55
1511,142761.77
1512,166297.14
1513,134375.66
1514,186565.67
1515,215498.02
1516,157391.72
1517,161923.67
1518,128511.26
1519,225875.55
1520,134755.42
1521,132104.39
1522,172006.36
1523,108755.4
1524,119508.96
1525,123141.34
1526,122903.375
1527,100783.82
1528,137654.67
1529,152252.25
1530,175641.45
1531,114557.305
1532,106873.19
1533,142292.2
1534,124491.89
1535,155796.27
1536,102663.41
1537,67801.59
1538,194129.56
1539,200757.33
1540,103033.055
1541,153627.4
1542,141756.23
1543,225701.38
1544,72524.12
1545,114476.34
1546,133274.97
1547,140635.88
1548,146779.97
1549,117285.0
1550,142618.88
1551,122973.24
1552,159457.61
1553,162293.6
1554,112028.25
1555,161030.52
1556,79953.555
1557,99482.34
1558,94369.76
1559,85689.37
1560,132137.77
1561,127364.34
1562,129734.016
1563,123344.75
1564,159045.86
1565,142234.77
1566,222042.3
1567,70615.44
1568,217228.23
1569,136380.56
1570,131913.05
1571,117072.414
1572,149875.17
1573,233201.83
1574,113016.35
1575,215368.23
1576,228644.11
1577,195401.0
1578,153032.83
1579,151814.77
1580,196349.88
1581,157716.12
1582,128827.69
1583,329569.1
1584,220444.42
1585,141290.88
1586,77037.164
1587,96747.234
1588,146376.12
1589,101228.625
1590,134191.95
1591,92472.15
1592,123065.04
1593,129013.37
1594,155396.75
1595,109539.555
1596,238039.75
1597,178888.72
1598,206133.7
1599,175481.61
1600,175465.19
1601,70159.45
1602,112452.35
1603,86129.84
1604,270639.47
1605,240796.42
1606,164726.42
1607,172380.62
1608,214789.66
1609,198680.23
1610,153008.97
1611,134996.08
1612,162091.31
1613,158311.88
1614,120438.195
1615,95655.26
1616,66153.91
1617,95895.625
1618,128923.66
1619,135239.64
1620,166635.75
1621,133666.72
1622,140078.5
1623,280198.1
1624,209763.4
1625,132165.02
1626,162087.25
1627,186300.34
1628,279418.47
1629,182725.36
1630,408816.6
1631,233825.58
1632,253753.84
1633,171926.06
1634,186182.95
1635,181492.92
